,public_id
0,ring-r\eesirenewableenergy\189_
1,dasovich-j\all_documents\12696_
2,lokay-m\personal\156_
3,parks-j\inbox\540_
4,dasovich-j\inbox\666_
5,giron-d\inbox\51_
6,williams-j\inbox\47_
7,watson-k\e_mail_bin\245_
8,ring-r\eesirenewableenergy\140_
9,ring-r\eesirenewableenergy\73_
10,thomas-p\sent_items\51_
11,dasovich-j\all_documents\9612_
12,dasovich-j\all_documents\12100_
13,kean-s\california___working_group\160_
14,mann-k\all_documents\3360_
15,ring-r\eesirenewableenergy\122_
16,ring-r\eesirenewableenergy\82_
17,dasovich-j\sent_items\363_
18,lucci-p\sent_items\247_
19,campbell-l\all_documents\1407_
20,dasovich-j\sent_items\667_
21,ring-r\eesirenewableenergy\164_
22,hyatt-k\deleted_items\18_
23,meyers-a\deleted_items\1079_
24,lavorato-j\all_documents\615_
25,shapiro-r\all_documents\695_
26,mann-k\all_documents\3361_
27,dasovich-j\inbox\44_
28,griffith-j\deleted_items\439_
29,kitchen-l\_americas\earnings\12_
30,ring-r\eesirenewableenergy\70_
31,allen-p\all_documents\453_
32,ring-r\eesirenewableenergy\465_
33,kitchen-l\sent_items\121_
34,dasovich-j\all_documents\8968_
35,ring-r\sent_items\34_
36,ring-r\eesirenewableenergy\59_
37,germany-c\sent_items\261_
38,sanchez-m\inbox\26_
39,symes-k\all_documents\1886_
40,farmer-d\deleted_items\personal\80_
41,ring-r\eesirenewableenergy\230_
42,dasovich-j\sent_items\498_
43,dasovich-j\all_documents\4526_
44,dasovich-j\all_documents\13419_
45,dasovich-j\all_documents\28989_
46,ring-r\eesiisonewyork\2_
47,smith-m\all_documents\196_
48,fischer-m\all_documents\150_
49,ring-r\eesirenewableenergy\173_
50,kitchen-l\sent_items\233_
51,hyvl-d\all_documents\1428_
52,ring-r\inbox\92_
53,ring-r\eesirenewableenergy\464_
54,saibi-e\inbox\282_
55,ring-r\eesirenewableenergy\144_
56,germany-c\all_documents\2975_
57,motley-m\inbox\ene_portland\administrative\44_
58,kitchen-l\sent_items\226_
59,bass-e\inbox\127_
60,kean-s\environmental_issues\221_
61,steffes-j\sent_items\599_
62,dasovich-j\all_documents\27830_
63,dasovich-j\sent_items\1134_
64,love-p\all_documents\549_
65,ring-r\eesirenewableenergy\162_
66,symes-k\all_documents\2757_
67,mckay-j\sent_items\320_
68,dasovich-j\inbox\1526_
69,lenhart-m\deleted_items\44_
70,dasovich-j\deleted_items\1801_
71,ring-r\sent_items\33_
72,symes-k\all_documents\2806_
73,kitchen-l\_americas\portland\165_
74,kean-s\all_documents\6110_
75,germany-c\bankrupt\cleburne_lone_star\52_
76,ring-r\sent_items\42_
77,dasovich-j\deleted_items\1993_
78,lavorato-j\deleted_items\360_
79,ring-r\eesirenewableenergy\138_
80,ring-r\eesirenewableenergy\108_
81,symes-k\all_documents\2817_
82,lenhart-m\deleted_items\120_
83,sanders-r\all_documents\1721_
84,nemec-g\all_documents\5337_
85,dasovich-j\all_documents\29165_
86,dasovich-j\all_documents\8668_
87,dasovich-j\all_documents\28355_
88,dasovich-j\all_documents\8956_
89,dasovich-j\all_documents\8365_
90,dean-c\inbox\299_
91,kitchen-l\_americas\mexico\48_
92,kaminski-v\sent_items\1283_
93,presto-k\sent_items\552_
94,scholtes-d\ferc\63_
95,kitchen-l\_americas\regulatory\86_
96,sager-e\all_documents\596_
97,lokay-m\all_documents\2107_
98,dasovich-j\sent_items\484_
99,shapiro-r\all_documents\1643_
100,dasovich-j\deleted_items\1995_
101,benson-r\inbox\108_
102,dasovich-j\all_documents\13062_
103,dasovich-j\all_documents\29338_
104,kean-s\all_documents\5992_
105,kean-s\california\1978_
106,hain-m\all_documents\429_
107,dasovich-j\all_documents\11623_
108,sanders-r\all_documents\2079_
109,dasovich-j\all_documents\29108_
110,dasovich-j\all_documents\4470_
111,kean-s\all_documents\4852_
112,sanders-r\iso__pricecaps\459_
113,dasovich-j\all_documents\13281_
114,kean-s\all_documents\5744_
115,dasovich-j\sent_items\920_
116,dasovich-j\all_documents\12246_
117,dasovich-j\all_documents\8232_
118,kean-s\all_documents\5186_
119,whalley-l\all_documents\1084_
120,kean-s\all_documents\4810_
121,dasovich-j\all_documents\28357_
122,kean-s\all_documents\5057_
123,kean-s\all_documents\5703_
124,dasovich-j\all_documents\9779_
125,shapiro-r\deleted_items\1456_
126,hyatt-k\sent_items\287_
127,guzman-m\all_documents\191_
128,kean-s\all_documents\6319_
129,shankman-j\all_documents\317_
130,shapiro-r\all_documents\861_
131,williams-w3\bill_williams_iii\415_
132,hain-m\all_documents\607_
133,scholtes-d\ferc\57_
134,dasovich-j\all_documents\12040_
135,dasovich-j\all_documents\9949_
136,dasovich-j\all_documents\28060_
137,dasovich-j\all_documents\28688_
138,kaminski-v\all_documents\2002_
139,haedicke-m\inbox\29_
140,dasovich-j\all_documents\9790_
141,guzman-m\all_documents\1515_
142,dasovich-j\all_documents\28811_
143,guzman-m\all_documents\984_
144,dasovich-j\deleted_items\1999_
145,dasovich-j\sent_items\864_
146,dasovich-j\all_documents\28504_
147,dasovich-j\deleted_items\1996_
148,guzman-m\all_documents\1540_
149,dasovich-j\all_documents\28927_
150,kaminski-v\inbox\498_
151,kean-s\all_documents\5403_
152,kean-s\all_documents\5729_
153,zufferli-j\sent_items\258_
154,corman-s\deleted_items\415_
155,dasovich-j\all_documents\12673_
156,shapiro-r\deleted_items\1076_
157,ruscitti-k\inbox\62_
158,dasovich-j\all_documents\13375_
159,dasovich-j\all_documents\29316_
160,swerzbin-m\inbox\65_
161,dasovich-j\sent_items\589_
162,kean-s\sent_items\75_
163,dasovich-j\all_documents\10634_
164,kean-s\all_documents\5292_
165,dasovich-j\all_documents\8955_
166,shapiro-r\all_documents\1765_
167,dasovich-j\all_documents\28292_
168,dasovich-j\all_documents\29132_
169,dasovich-j\deleted_items\1777_
170,haedicke-m\inbox\183_
171,dasovich-j\deleted_items\1800_
172,dasovich-j\all_documents\12850_
173,motley-m\deleted_items\121_
174,salisbury-h\inbox\1160_
175,dasovich-j\all_documents\28492_
176,steffes-j\california_issues\ca_refunds\76_
177,kean-s\all_documents\5147_
178,kean-s\all_documents\5213_
179,dasovich-j\all_documents\9363_
180,dasovich-j\sent_items\246_
181,dasovich-j\all_documents\27711_
182,kaminski-v\consultants\3_
183,lokay-m\articles\334_
184,hain-m\all_documents\673_
185,sanders-r\all_documents\5263_
186,presto-k\deleted_items\740_
187,dasovich-j\sent_items\248_
188,dasovich-j\all_documents\28711_
189,dasovich-j\all_documents\28604_
190,lavorato-j\sent_items\104_
191,dasovich-j\all_documents\13324_
192,dasovich-j\all_documents\29314_
193,dasovich-j\all_documents\28600_
194,kean-s\all_documents\5618_
195,kean-s\all_documents\2173_
196,baughman-d\all_documents\371_
197,lokay-m\all_documents\2203_
198,kaminski-v\all_documents\2115_
199,kean-s\caliornia___investigations\32_
200,dasovich-j\all_documents\8838_
201,dasovich-j\all_documents\9825_
202,dasovich-j\all_documents\9773_
203,dasovich-j\deleted_items\507_
204,dasovich-j\sent_items\251_
205,dasovich-j\all_documents\27730_
206,dasovich-j\sent_items\1128_
207,steffes-j\deleted_items\415_
208,farmer-d\enron_news\29_
209,kean-s\all_documents\4989_
210,hain-m\all_documents\414_
211,lokay-m\articles\347_
212,dasovich-j\all_documents\27799_
213,dasovich-j\all_documents\28736_
214,dasovich-j\all_documents\27968_
215,dasovich-j\all_documents\9776_
216,wolfe-j\07_saved\87_
217,dasovich-j\all_documents\12799_
218,dasovich-j\all_documents\28967_
219,dasovich-j\all_documents\9086_
220,dasovich-j\all_documents\29318_
221,kaminski-v\deleted_items\1817_
222,dasovich-j\all_documents\27748_
223,dasovich-j\all_documents\29237_
224,kaminski-v\all_documents\995_
225,kean-s\all_documents\6154_
226,rogers-b\deleted_items\380_
227,dasovich-j\all_documents\10694_
228,dasovich-j\all_documents\29334_
229,kaminski-v\all_documents\2290_
230,dasovich-j\all_documents\29163_
231,kean-s\california___working_group\152_
232,kean-s\all_documents\8826_
233,dasovich-j\all_documents\13267_
234,dasovich-j\deleted_items\679_
235,dasovich-j\inbox\349_
236,kitchen-l\_americas\esvl\212_
237,ring-r\inbox\89_
238,guzman-m\all_documents\162_
239,dasovich-j\all_documents\8672_
240,dasovich-j\inbox\597_
241,guzman-m\all_documents\1518_
242,stokley-c\chris_stokley\iso\mrkt_info\39_
243,sanders-r\all_documents\1572_
244,kitchen-l\_americas\turbines\15_
245,dasovich-j\all_documents\13456_
246,guzman-m\all_documents\1516_
247,dasovich-j\sent_items\250_
248,scholtes-d\ferc\35_
249,stokley-c\chris_stokley\sent\88_
250,thomas-p\inbox\74_
251,dasovich-j\all_documents\13283_
252,kean-s\all_documents\5303_
253,hain-m\all_documents\570_
254,baughman-d\power\legal_agreements\53_
255,fossum-d\all_documents\965_
256,lay-k\inbox\533_
257,dasovich-j\all_documents\28498_
258,stokley-c\chris_stokley\sent\273_
259,kaminski-v\consultants\4_
260,dasovich-j\all_documents\29040_
261,dasovich-j\all_documents\4377_
262,scholtes-d\ferc\44_
263,kean-s\all_documents\2232_
264,dasovich-j\all_documents\10475_
265,dasovich-j\all_documents\10464_
266,dasovich-j\all_documents\12305_
267,dasovich-j\all_documents\4738_
268,dasovich-j\all_documents\28054_
269,dasovich-j\deleted_items\2000_
270,ring-r\eesirenewableenergy\88_
271,symes-k\all_documents\2768_
272,hain-m\all_documents\444_
273,ring-r\eesirenewableenergy\448_
274,scholtes-d\ferc\55_
275,dasovich-j\all_documents\28511_
276,taylor-m\inbox\lisa_j\58_
277,hyatt-k\market_intel\22_
278,kean-s\all_documents\5741_
279,stokley-c\chris_stokley\iso\mrkt_info\123_
280,dasovich-j\all_documents\9098_
281,baughman-d\all_documents\253_
282,dasovich-j\all_documents\9830_
283,shapiro-r\all_documents\821_
284,dasovich-j\all_documents\9222_
285,dasovich-j\all_documents\28344_
286,dasovich-j\all_documents\11460_
287,dasovich-j\all_documents\12957_
288,taylor-m\inbox\trevor\2_
289,dasovich-j\all_documents\13081_
290,dasovich-j\all_documents\27780_
291,dasovich-j\all_documents\12156_
292,williams-w3\bill_williams_iii\685_
293,dasovich-j\all_documents\13046_
294,steffes-j\inbox\278_
295,kitchen-l\_americas\regulatory\242_
296,kaminski-v\all_documents\2104_
297,dasovich-j\all_documents\9908_
298,dasovich-j\all_documents\28999_
299,kaminski-v\all_documents\2009_
300,kaminski-v\deleted_items\982_
301,kaminski-v\sent_items\1388_
302,kean-s\all_documents\5210_
303,shapiro-r\deleted_items\209_
304,dasovich-j\sent_items\914_
305,shively-h\sent_items\100_
306,dasovich-j\all_documents\10053_
307,dasovich-j\all_documents\28176_
308,hyatt-k\power_conf\29_
309,dasovich-j\sent_items\1129_
310,campbell-l\all_documents\577_
311,dasovich-j\all_documents\9732_
312,dasovich-j\sent_items\1114_
313,dasovich-j\sent_items\826_
314,dasovich-j\all_documents\13310_
315,dasovich-j\all_documents\28310_
316,shapiro-r\all_documents\472_
317,kitchen-l\_americas\turbines\14_
318,dasovich-j\deleted_items\1992_
319,lavorato-j\all_documents\782_
320,kitchen-l\_americas\asset_marketing\7_
321,stokley-c\chris_stokley\iso\info\1_
322,dasovich-j\deleted_items\1990_
323,crandell-s\inbox\236_
324,allen-p\deleted_items\18_
325,dasovich-j\all_documents\4606_
326,kaminski-v\sent_items\814_
327,dasovich-j\deleted_items\1972_
328,dasovich-j\all_documents\13244_
329,dasovich-j\sent_items\592_
330,kean-s\all_documents\5755_
331,dasovich-j\all_documents\27916_
332,hain-m\all_documents\761_
333,dasovich-j\all_documents\12765_
334,dasovich-j\all_documents\28871_
335,dasovich-j\all_documents\27832_
336,dasovich-j\all_documents\28212_
337,may-l\inbox\731_
338,dasovich-j\all_documents\28132_
339,dasovich-j\all_documents\28091_
340,ruscitti-k\inbox\34_
341,dasovich-j\all_documents\27751_
342,dasovich-j\all_documents\28010_
343,sager-e\all_documents\1048_
344,kaminski-v\sent_items\1389_
345,kaminski-v\inbox\173_
346,sanders-r\all_documents\1570_
347,dasovich-j\all_documents\27776_
348,kitchen-l\_americas\hr\160_
349,stokley-c\chris_stokley\sent\283_
350,mcconnell-m\all_documents\169_
351,hain-m\all_documents\443_
352,stokley-c\chris_stokley\projects\ees_\neil_b_\7_
353,dasovich-j\all_documents\28262_
354,kean-s\all_documents\5355_
355,dasovich-j\all_documents\9428_
356,delainey-d\all_documents\38_
357,lenhart-m\sent_items\421_
358,wolfe-j\sent_items\24_
359,campbell-l\all_documents\1460_
360,ring-r\eesirenewableenergy\133_
361,benson-r\inbox\236_
362,ring-r\eesirenewableenergy\186_
363,kean-s\federal_legislation\313_
364,donoho-l\inbox\junk_file\499_
365,heard-m\inbox\164_
366,ring-r\eesirenewableenergy\438_
367,perlingiere-d\all_documents\2811_
368,wolfe-j\10_saved\48_
369,steffes-j\deleted_items\399_
370,kean-s\all_documents\8729_
371,ward-k\sent_items\143_
372,sanders-r\deleted_items\504_
373,corman-s\deleted_items\425_
374,kaminski-v\sent_items\606_
375,hain-m\all_documents\523_
376,dasovich-j\all_documents\12604_
377,dorland-c\sent_items\261_
378,staab-t\sent_items\120_
379,sager-e\all_documents\526_
380,kuykendall-t\sent_items\86_
381,shapiro-r\deleted_items\463_
382,dasovich-j\deleted_items\721_
383,ring-r\sent_items\28_
384,bass-e\inbox\192_
385,dorland-c\sent_items\57_
386,farmer-d\sent_items\144_
387,dorland-c\sent_items\260_
388,ring-r\eesirenewableenergy\95_
389,ring-r\eesirenewableenergy\439_
390,buy-r\inbox\838_
391,wolfe-j\inbox\273_
392,lewis-a\deleted_items\792_
393,ring-r\inbox\91_
394,saibi-e\inbox\483_
395,ring-r\eesirenewableenergy\175_
396,dorland-c\sent_items\55_
397,corman-s\sent_items\20_
398,hyatt-k\deleted_items\443_
399,dasovich-j\all_documents\8749_
400,ring-r\eesirenewableenergy\232_
401,haedicke-m\all_documents\5075_
402,lenhart-m\sent_items\419_
403,dasovich-j\all_documents\13119_
404,allen-p\sent_items\376_
405,ring-r\eesirenewableenergy\231_
406,ring-r\eesirenewableenergy\143_
407,thomas-p\deleted_items\279_
408,kaminski-v\all_documents\403_
409,steffes-j\sent_items\1188_
410,watson-k\e_mail_bin\452_
411,white-s\deleted_items\891_
412,allen-p\inbox\22_
413,nemec-g\all_documents\5119_
414,saibi-e\inbox\305_
415,ring-r\eesirenewableenergy\139_
416,kean-s\federal_legislation\310_
417,wolfe-j\inbox\275_
418,dorland-c\sent_items\58_
419,williams-j\all_documents\125_
420,ring-r\eesirenewableenergy\184_
421,wolfe-j\inbox\139_
422,beck-s\inbox\533_
423,dasovich-j\all_documents\28937_
424,ring-r\eesirenewableenergy\437_
425,fischer-m\all_documents\394_
426,ring-r\eesirenewableenergy\454_
427,ring-r\eesirenewableenergy\96_
428,kaminski-v\sent_items\1223_
429,ring-r\eesirenewableenergy\411_
430,cash-m\all_documents\675_
431,blair-l\deleted_items\_sent_mail\27_
432,kean-s\all_documents\4861_
433,haedicke-m\all_documents\4879_
434,lenhart-m\deleted_items\229_
435,wolfe-j\sent_items\83_
436,ring-r\eesirenewableenergy\99_
437,ring-r\eesirenewableenergy\101_
438,kean-s\all_documents\5685_
439,lenhart-m\deleted_items\4_
440,hodge-j\inbox\470_
441,dasovich-j\all_documents\29177_
442,shapiro-r\all_documents\1707_
443,kean-s\all_documents\5275_
444,kean-s\all_documents\5700_
445,nemec-g\inbox\1677_
446,dasovich-j\all_documents\4174_
447,taylor-m\all_documents\3875_
448,guzman-m\all_documents\787_
449,dasovich-j\all_documents\12338_
450,dasovich-j\all_documents\9824_
451,dasovich-j\all_documents\28663_
452,taylor-m\all_documents\3874_
453,hodge-j\inbox\289_
454,germany-c\bankrupt\transport\43_
455,swerzbin-m\sent_items\75_
