,email_id,relevance
0,hain-m\all_documents\1105_,71
1,kean-s\deleted_items\216_,67
2,skilling-j\all_documents\1497_,65
3,dasovich-j\inbox\769_,64
4,bass-e\all_documents\100_,63
5,skilling-j\inbox\193_,63
6,dasovich-j\all_documents\8864_,62
7,parks-j\sent_items\369_,62
8,harris-s\deleted_items\77_,62
9,kitchen-l\_americas\hr\196_,61
10,carson-m\inbox\40_,61
11,baughman-d\deleted_items\220_,61
12,carson-m\inbox\62_,61
13,whalley-l\all_documents\514_,61
14,dasovich-j\all_documents\8876_,60
15,dasovich-j\all_documents\7784_,60
16,taylor-m\all_documents\7404_,60
17,fossum-d\all_documents\1573_,60
18,dasovich-j\all_documents\28545_,60
19,crandell-s\sent_items\96_,60
20,rogers-b\all_documents\12_,60
21,shapiro-r\all_documents\687_,59
22,lenhart-m\all_documents\509_,59
23,mann-k\all_documents\3945_,59
24,shapiro-r\deleted_items\529_,59
25,shapiro-r\canada\66_,59
26,shapiro-r\all_documents\1592_,59
27,dasovich-j\all_documents\11924_,59
28,sager-e\sent_items\154_,59
29,donoho-l\sent_items\79_,59
30,dasovich-j\all_documents\8691_,59
31,lay-k\inbox\1032_,59
32,mims-thurston-p\all_documents\104_,59
33,jones-t\all_documents\10441_,59
34,dasovich-j\all_documents\29310_,58
35,shapiro-r\all_documents\639_,58
36,nemec-g\all_documents\4797_,58
37,sanders-r\all_documents\1255_,58
38,lay-k\all_documents\1051_,58
39,skilling-j\inbox\1437_,58
40,dasovich-j\all_documents\28207_,58
41,hernandez-j\all_documents\795_,58
42,mims-thurston-p\deleted_items\638_,58
43,fossum-d\_sent_mail\1376_,58
44,mcconnell-m\calendar\42_,58
45,haedicke-m\all_documents\4785_,58
46,kean-s\all_documents\5717_,58
47,dasovich-j\all_documents\12634_,58
48,white-s\inbox\321_,58
49,jones-t\all_documents\5678_,58
50,shapiro-r\all_documents\753_,58
51,geaccone-t\_sent_mail\169_,58
52,corman-s\inbox\49_,58
53,allen-p\sent_items\252_,58
54,whalley-g\sent_items\21_,57
55,kean-s\caliornia___investigations\43_,57
56,staab-t\deleted_items\230_,57
57,hernandez-j\all_documents\220_,57
58,lavorato-j\all_documents\787_,57
59,dasovich-j\all_documents\4170_,57
60,lewis-a\deleted_items\1232_,57
61,nemec-g\sent_items\469_,57
62,shackleton-s\all_documents\5222_,57
63,mcconnell-m\all_documents\365_,57
64,richey-c\_sent_mail\80_,57
65,hayslett-r\sent_items\133_,57
66,lavorato-j\analyst_associate\7_,57
67,fossum-d\all_documents\1587_,57
68,kean-s\all_documents\6510_,57
69,sanders-r\all_documents\1266_,57
70,shapiro-r\deleted_items\1050_,57
71,kean-s\all_documents\5082_,57
72,allen-p\all_documents\482_,57
73,mann-k\all_documents\4849_,57
74,sager-e\calendar\2_,57
75,shapiro-r\deleted_items\1043_,57
76,scott-s\all_documents\874_,57
77,sager-e\calendar\5_,57
78,love-p\all_documents\56_,57
79,tycholiz-b\inbox\444_,57
80,dasovich-j\sent_items\180_,57
81,hain-m\all_documents\996_,57
82,delainey-d\sent_items\37_,57
83,shankman-j\all_documents\396_,57
84,dasovich-j\all_documents\28544_,57
85,lenhart-m\all_documents\130_,57
86,corman-s\sent_items\387_,57
87,scott-s\inbox\212_,57
88,dasovich-j\all_documents\10484_,57
89,shapiro-r\deleted_items\1027_,57
90,germany-c\bankrupt\tall_dominion\22_,57
91,shapiro-r\rto_campaign\57_,57
92,dasovich-j\all_documents\10877_,57
