,email_id,relevance
0,gilbertsmith-d\calendar\28_,69
1,geaccone-t\sent_items\73_,69
2,kean-s\all_documents\2165_,69
3,weldon-c\sent_items\67_,69
4,shively-h\deleted_items\427_,67
5,kean-s\all_documents\5984_,67
6,presto-k\sent_items\975_,66
7,zipper-a\sent_items\212_,66
8,lavorato-j\sent_items\63_,65
9,lavorato-j\all_documents\713_,65
10,rapp-b\deleted_items\124_,64
11,donoho-l\sent_items\75_,63
12,beck-s\all_documents\36_,63
13,shapiro-r\deleted_items\814_,62
14,griffith-j\all_documents\300_,62
15,beck-s\all_documents\35_,61
16,schoolcraft-d\tw_fuel_sales\23_,61
17,lavorato-j\deleted_items\190_,60
18,geaccone-t\_sent_mail\73_,60
19,lavorato-j\all_documents\653_,60
20,schoolcraft-d\tw_fuel_sales\37_,60
21,giron-d\all_documents\380_,60
22,sager-e\all_documents\1883_,60
23,lavorato-j\deleted_items\215_,60
24,hyatt-k\deleted_items\143_,59
25,dasovich-j\all_documents\29192_,59
26,may-l\inbox\630_,58
27,buy-r\sent_items\160_,57
28,buy-r\all_documents\168_,57
29,quenet-j\all_documents\52_,57
30,nemec-g\all_documents\5190_,57
31,beck-s\all_documents\343_,57
32,shapiro-r\all_documents\501_,57
33,kitchen-l\_americas\board\8_,57
34,townsend-j\_sent_mail\2_,57
35,townsend-j\all_documents\27_,57
36,kitchen-l\_americas\hr\96_,56
37,hyatt-k\inbox\48_,56
38,wolfe-j\tasks\1_,56
39,nemec-g\sent_items\679_,56
40,kitchen-l\_americas\hr\156_,56
41,kaminski-v\sent_items\818_,56
42,white-s\sent_items\156_,56
43,nemec-g\sent_items\410_,55
44,campbell-l\all_documents\1409_,55
45,beck-s\all_documents\331_,55
46,shapiro-r\all_documents\143_,55
47,richey-c\sent_items\170_,55
48,kaminski-v\deleted_items\1392_,55
