,email_id,relevance,Link
0,lavorato-j\all_documents\615_,67,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\lavorato-j\all_documents\615_""> Link </a>"
1,lenhart-m\all_documents\467_,61,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\lenhart-m\all_documents\467_""> Link </a>"
2,dasovich-j\all_documents\11569_,59,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\dasovich-j\all_documents\11569_""> Link </a>"
3,solberg-g\sent_items\29_,58,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\solberg-g\sent_items\29_""> Link </a>"
4,dasovich-j\all_documents\8428_,58,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\dasovich-j\all_documents\8428_""> Link </a>"
5,maggi-m\deleted_items\1093_,58,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\maggi-m\deleted_items\1093_""> Link </a>"
6,lenhart-m\all_documents\181_,58,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\lenhart-m\all_documents\181_""> Link </a>"
7,smith-m\inbox\331_,57,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\smith-m\inbox\331_""> Link </a>"
8,semperger-c\sent_items\172_,57,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\semperger-c\sent_items\172_""> Link </a>"
9,maggi-m\inbox\50_,57,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\maggi-m\inbox\50_""> Link </a>"
10,lenhart-m\all_documents\381_,57,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\lenhart-m\all_documents\381_""> Link </a>"
11,maggi-m\deleted_items\1031_,57,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\maggi-m\deleted_items\1031_""> Link </a>"
12,lenhart-m\all_documents\394_,57,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\lenhart-m\all_documents\394_""> Link </a>"
13,lenhart-m\all_documents\111_,57,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\lenhart-m\all_documents\111_""> Link </a>"
14,lenhart-m\all_documents\575_,57,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\lenhart-m\all_documents\575_""> Link </a>"
15,lewis-a\deleted_items\937_,56,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\lewis-a\deleted_items\937_""> Link </a>"
16,maggi-m\deleted_items\1497_,56,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\maggi-m\deleted_items\1497_""> Link </a>"
17,kean-s\sent_items\7_,56,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\kean-s\sent_items\7_""> Link </a>"
18,griffith-j\deleted_items\608_,56,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\griffith-j\deleted_items\608_""> Link </a>"
19,maggi-m\deleted_items\69_,56,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\maggi-m\deleted_items\69_""> Link </a>"
20,maggi-m\sent_items\33_,56,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\maggi-m\sent_items\33_""> Link </a>"
21,maggi-m\deleted_items\1453_,56,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\maggi-m\deleted_items\1453_""> Link </a>"
22,tycholiz-b\_sent_mail\81_,55,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\tycholiz-b\_sent_mail\81_""> Link </a>"
23,quigley-d\sent_items\20_,55,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\quigley-d\sent_items\20_""> Link </a>"
24,rogers-b\all_documents\5_,55,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\rogers-b\all_documents\5_""> Link </a>"
25,arnold-j\deleted_items\709_,55,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\arnold-j\deleted_items\709_""> Link </a>"
26,kuykendall-t\sent_items\52_,55,"<a  target=""_blank"" href=""file:///D:\Email_contextualization\Enron_data\enron_mail_20150507\maildir\kuykendall-t\sent_items\52_""> Link </a>"
